Shimmer_B640_Timestamp_FormattedUnix_CAL,Shimmer_B640_PPG_A13_CAL
yyyy/mm/dd hh:mm:ss.000,mV
51:23.4,1235.897436
51:23.4,1238.095238
51:23.4,1236.630037
51:23.4,1237.362637
51:23.4,1237.362637
51:23.5,1238.095238
51:23.5,1238.095238
51:23.5,1236.630037
51:23.5,1236.630037
51:23.5,1233.699634
51:23.5,1232.967033
51:23.5,1230.03663
51:23.5,1230.769231
51:23.5,1231.501832
51:23.5,1230.769231
51:23.5,1230.769231
51:23.5,1227.838828
51:23.5,1227.106227
51:23.6,1225.641026
51:23.6,1224.908425
51:23.6,1223.443223
51:23.6,1221.245421
51:23.6,1221.978022
51:23.6,1223.443223
51:23.6,1226.373626
51:23.6,1230.769231
51:23.6,1233.699634
51:23.6,1234.432234
51:23.6,1236.630037
51:23.6,1239.56044
51:23.6,1243.223443
51:23.7,1246.153846
51:23.7,1244.688645
51:23.7,1238.827839
51:23.7,1230.03663
51:23.7,1219.78022
51:23.7,1210.989011
51:23.7,1202.930403
51:23.7,1200
51:23.7,1200
51:23.7,1202.197802
51:23.7,1215.384615
51:23.7,1234.432234
51:23.8,1263.003663
51:23.8,1302.564103
51:23.8,1350.915751
51:23.8,1406.593407
51:23.8,1471.062271
51:23.8,1536.996337
51:23.8,1602.197802
51:23.8,1664.468864
51:23.8,1720.879121
51:23.8,1769.96337
51:23.8,1812.454212
51:23.8,1844.688645
51:23.8,1868.131868
51:23.9,1882.783883
51:23.9,1890.10989
51:23.9,1890.842491
51:23.9,1887.179487
51:23.9,1874.725275
51:23.9,1857.142857
51:23.9,1834.432234
51:23.9,1811.721612
51:23.9,1784.615385
51:23.9,1757.509158
51:23.9,1731.135531
51:23.9,1704.029304
51:23.9,1676.190476
51:24.0,1652.747253
51:24.0,1630.769231
51:24.0,1613.186813
51:24.0,1599.267399
51:24.0,1589.74359
51:24.0,1583.882784
51:24.0,1582.417582
51:24.0,1586.813187
51:24.0,1593.406593
51:24.0,1602.930403
51:24.0,1612.454212
51:24.0,1619.78022
51:24.0,1625.641026
51:24.1,1627.838828
51:24.1,1627.838828
51:24.1,1624.175824
